
These predictions were generated by HydroDyn on 12-Aug-2019 at 11:27:38.




    Time            Wave1Elev              M1N1Vxi              M1N1Vzi              M1N1Axi              M1N1Azi             M1N1FDxi             M1N1FDzi             M1N1FIxi             M1N1FIzi             M1N1FAxi             M1N1FAzi
   (sec)                  (m)                (m/s)                (m/s)              (m/s^2)              (m/s^2)                (N/m)                (N/m)                (N/m)                (N/m)                (N/m)                (N/m)
    2.3750           3.1287E-01          -5.3788E-01          -8.9213E-01          -7.1088E-01           2.6649E-01           4.8191E-01          -3.0409E-01          -6.2007E+03           3.9127E+03           0.0000E+00           0.0000E+00
    2.4000           2.5029E-01          -5.5569E-01          -8.8545E-01          -7.0556E-01           2.7531E-01           7.0953E-03          -4.4772E-03          -6.2024E+03           3.9138E+03           0.0000E+00           0.0000E+00
    2.4250           1.8772E-01          -5.7350E-01          -8.7878E-01          -7.0024E-01           2.8413E-01          -2.7639E-01           1.7440E-01          -6.2042E+03           3.9149E+03           0.0000E+00           0.0000E+00
    2.4500           1.2515E-01          -5.9131E-01          -8.7210E-01          -6.9492E-01           2.9296E-01          -1.2898E+00           8.1387E-01          -6.2059E+03           3.9160E+03           0.0000E+00           0.0000E+00
    2.4750           6.2574E-02          -6.0911E-01          -8.6543E-01          -6.8960E-01           3.0178E-01          -3.0473E+00           1.9229E+00          -6.2077E+03           3.9171E+03           0.0000E+00           0.0000E+00
    2.5000          -1.3451E-07          -6.2692E-01          -8.5875E-01          -6.8428E-01           3.1060E-01          -5.5489E+00           3.5014E+00          -6.2094E+03           3.9182E+03           0.0000E+00           0.0000E+00
    2.5250          -6.2574E-02          -6.4319E-01          -8.4996E-01          -6.7728E-01           3.1866E-01          -8.7603E+00           5.5279E+00          -6.1959E+03           3.9097E+03           0.0000E+00           0.0000E+00
    2.5500          -1.2515E-01          -6.5945E-01          -8.4117E-01          -6.7027E-01           3.2672E-01          -1.2702E+01           8.0149E+00          -6.1823E+03           3.9011E+03           0.0000E+00           0.0000E+00
    2.5750          -1.8772E-01          -6.7572E-01          -8.3238E-01          -6.6327E-01           3.3478E-01          -1.7373E+01           1.0963E+01          -6.1688E+03           3.8926E+03           0.0000E+00           0.0000E+00
    2.6000          -2.5030E-01          -6.9198E-01          -8.2359E-01          -6.5626E-01           3.4284E-01          -2.2775E+01           1.4371E+01          -6.1553E+03           3.8840E+03           0.0000E+00           0.0000E+00
    2.6250          -3.1287E-01          -7.0825E-01          -8.1480E-01          -6.4926E-01           3.5090E-01          -2.8906E+01           1.8240E+01          -6.1417E+03           3.8755E+03           0.0000E+00           0.0000E+00
    2.6500          -3.7544E-01          -7.2451E-01          -8.0601E-01          -6.4225E-01           3.5895E-01          -3.5768E+01           2.2570E+01          -6.1282E+03           3.8669E+03           0.0000E+00           0.0000E+00
    2.6750          -4.3802E-01          -7.4078E-01          -7.9722E-01          -6.3525E-01           3.6701E-01          -4.3359E+01           2.7360E+01          -6.1146E+03           3.8584E+03           0.0000E+00           0.0000E+00
    2.7000          -5.0059E-01          -7.5704E-01          -7.8843E-01          -6.2824E-01           3.7507E-01          -5.1681E+01           3.2611E+01          -6.1011E+03           3.8498E+03           0.0000E+00           0.0000E+00
    2.7250          -5.6316E-01          -7.7331E-01          -7.7964E-01          -6.2124E-01           3.8313E-01          -6.0732E+01           3.8323E+01          -6.0876E+03           3.8413E+03           0.0000E+00           0.0000E+00
    2.7500          -6.2574E-01          -7.8957E-01          -7.7085E-01          -6.1423E-01           3.9119E-01          -7.0514E+01           4.4495E+01          -6.0740E+03           3.8328E+03           0.0000E+00           0.0000E+00
    2.7750          -6.8677E-01          -8.0389E-01          -7.6016E-01          -6.0572E-01           3.9828E-01          -8.0654E+01           5.0893E+01          -6.0455E+03           3.8148E+03           0.0000E+00           0.0000E+00
    2.8000          -7.4780E-01          -8.1821E-01          -7.4947E-01          -5.9720E-01           4.0538E-01          -9.1475E+01           5.7721E+01          -6.0170E+03           3.7968E+03           0.0000E+00           0.0000E+00
